id pos dangling.L dangling.R rejoined
211 35468391 40 22 22
212 35468543 19 179 14
213 35468694 73 99 24
214 35468980 82 152 49
215 35469320 60 39 14
216 35470065 25 53 27
217 35470223 69 79 54
218 35470382 29 63 3
219 35471086 14 36 7
220 35471150 37 9 11
221 35471456 22 52 15
222 35471478 120 30 28
223 35471636 14 30 12
224 35472625 43 14 21
225 35473514 62 53 30
226 35473622 13 94 6
227 35474553 20 102 39
228 35474902 46 83 10
229 35475257 57 60 10
230 35475362 62 29 14
231 35475531 56 45 37
232 35475846 59 84 36
233 35476161 51 99 6
234 35477658 10 47 22
235 35477835 9 71 8
236 35478008 68 20 13
237 35478147 26 18 2
238 35479264 43 31 19
239 35480396 38 37 30
240 35480742 17 33 15
241 35480959 56 87 20
242 35481118 38 73 9
243 35481557 37 18 13
244 35481733 44 15 15
245 35481996 57 45 19
246 35482171 20 42 12
247 35482477 28 46 27
248 35482652 14 110 22
249 35483080 57 43 27
250 35483645 76 15 31
251 35483820 29 67 12
252 35484307 30 36 10
253 35484446 25 61 9
254 35484611 46 91 10
255 35484775 49 74 2
256 35484823 71 12 22
257 35485386 45 33 24
258 35485907 16 39 10
259 35486046 45 25 2
260 35487130 60 54 50
261 35487617 74 79 20
262 35488341 220 84 46
263 35488663 22 115 27
264 35489252 44 52 27
265 35489396 21 247 22
266 35489410 52 63 3
267 35490434 89 95 44
268 35490553 84 249 57
269 35490882 31 77 14
270 35491594 63 64 33
271 35491853 266 129 23
272 35491934 74 84 21
273 35492597 68 33 29
274 35492784 40 65 16
275 35493306 37 103 11
276 35493573 59 42 14
277 35493720 22 24 18
278 35493747 40 5 15
279 35493775 44 10 4
280 35494659 239 57 34
281 35494858 39 152 33
282 35495188 71 159 15
283 35495877 1 0 33
284 35495903 204 565 44
285 35496131 85 247 21
286 35496445 9 124 15
287 35496467 0 42 3
288 35496620 15 0 18
289 35496756 47 46 12
290 35498020 33 37 31
291 35498060 33 19 20
292 35498447 51 38 16
293 35498512 57 56 4
294 35498623 25 52 0
295 35498641 181 16 20
296 35498854 43 173 17
297 35498907 94 96 16
298 35499091 57 76 9
299 35499851 0 81 8
